id,Geographic Area Name,Total,Male,Female,White,Black_AA,Am_Ind,Asian,Pac/HA,other,2ormore,hisp/lat,white_nohisp,<18yrs,<5yrs,5-17yrs,18-64yrs,18-34yrs,35-64yrs,>60yrs,>65yrs,Total_>25,">25,noHSdeg",">25,Hsdeg",">25,col/ASD",">25,BA+"
37047,"Columb County, North Carolina",52992,25171,27821,33786,15474,1831,181,8,917,795,2807,32312,11687,2808,8879,30721,10326,20395,14426,10584,36903,5823,13308,12369,5403
37049,"Craven County, North Carolina",97063,47113,49950,68420,20801,816,2694,112,2037,2183,6659,64451,21657,6417,15240,56623,22309,34314,25339,18783,66116,7248,17047,24857,16964
37051,"Cumberland County, North Carolina",316519,152625,163894,157205,118835,4495,8068,899,8370,18647,36153,136660,80901,24867,56034,197909,88057,109852,53806,37709,201722,18230,52321,79254,51917
37053,"Currituck County, North Carolina",26187,12993,13194,23681,1447,87,114,6,247,605,1014,22881,5780,1401,4379,16314,4752,11562,6160,4093,18678,1754,5362,7167,4395
37055,"Dare County, North Carolina",35970,18020,17950,33375,1057,138,279,12,448,661,2636,31465,6858,1562,5296,21656,5775,15881,10847,7456,26863,1535,6111,9865,9352
37057,"Davidson County, North Carolina",162926,79468,83458,140167,14692,497,2586,0,2187,2797,11576,131083,35763,8842,26921,98445,31181,67264,39553,28718,114718,18175,37705,37498,21340
37059,"Davie County, North Carolina",41952,20316,21636,37523,2031,124,300,0,759,1215,2875,35439,8993,2055,6938,24575,7180,17395,11492,8384,29960,3617,9574,9578,7191
37061,"Duplin County, North Carolina",58374,28494,29880,41682,13745,270,219,61,1254,1143,13044,30099,14029,3602,10427,33954,11372,22582,14328,10391,39609,9553,12547,12715,4794
37063,"Durham County, North Carolina",298040,140832,157208,156164,107764,687,14143,98,10220,8964,40732,127487,65032,20320,44712,195119,79236,115883,55165,37889,209193,24079,35468,46844,102802
37065,"Edgecombe County, North Carolina",51905,23998,27907,20321,30002,70,113,62,543,794,2408,18672,11791,2986,8805,30408,10365,20043,13743,9706,35873,6617,13482,10879,4895
37067,"Forsyth County, North Carolina",364462,172816,191646,242935,93647,1484,8146,356,8981,8913,47652,207991,86356,22400,63956,220656,77308,143348,79494,57450,249403,26368,63708,73951,85376
37069,"Franklin County, North Carolina",64746,31786,32960,43923,15762,794,329,159,1939,1840,5551,41377,14554,3695,10859,39611,12302,27309,15316,10581,45276,6172,13411,15632,10061
37071,"Gaston County, North Carolina",215978,103905,112073,166588,35098,680,3354,202,4515,5541,15193,156602,48979,12774,36205,133265,45374,87891,48014,33734,149755,22489,45606,49587,32073
37073,"Gates County, North Carolina",11477,5617,5860,7297,3811,109,61,0,2,197,11,7288,2339,455,1884,6881,2001,4880,3119,2257,8310,895,3148,3071,1196
37075,"Graham County, North Carolina",8375,4065,4310,7319,1,859,0,0,110,86,177,7252,1722,379,1343,4774,1494,3280,2522,1879,5974,1047,2181,1977,769
37077,"Granville County, North Carolina",56252,27526,28726,34907,16367,209,312,42,1942,2473,4457,33198,11939,2830,9109,34881,10665,24216,12958,9432,40181,6250,12061,12627,9243
37079,"Greene County, North Carolina",18614,9644,8970,11381,6274,28,0,0,369,562,2935,8889,4247,1029,3218,11209,3646,7563,4537,3158,12830,3067,4199,3967,1597
37081,"Guilford County, North Carolina",509531,242532,266999,283475,169583,2821,25873,347,13428,14004,41134,258322,116666,31065,85601,316639,116342,200297,107484,76226,348433,37519,80356,104118,126440
37083,"Halifax County, North Carolina",49855,23688,26167,20197,26292,1924,365,74,77,926,1404,19188,10925,2753,8172,28989,9682,19307,13660,9941,34920,7322,12990,9441,5167
37085,"Harnett County, North Carolina",128703,63463,65240,86358,26775,1179,1462,362,7819,4748,16506,78883,34377,9726,24651,78613,30698,47915,22396,15713,84065,10210,25007,30188,18660
37087,"Haywood County, North Carolina",60256,29163,31093,57530,560,283,399,0,576,908,2423,55762,10743,2962,7781,34991,10921,24070,19387,14522,45411,5320,11976,16253,11862
37089,"Henderson County, North Carolina",113463,54687,58776,103697,3785,424,1537,0,2148,1872,11417,94427,21722,5457,16265,63367,18828,44539,36917,28374,84431,8348,20282,28814,26987
37091,"Hertford County, North Carolina",21826,10176,11650,7724,12897,255,160,38,220,532,735,7442,4537,1098,3439,12835,4437,8398,6147,4454,15322,2918,4802,5225,2377
37093,"Hoke County, North Carolina",52105,25301,26804,23439,17315,4257,811,71,3800,2412,7004,21153,14376,4385,9991,32723,13615,19108,7514,5006,33484,4074,9560,13726,6124
37095,"Hyde County, North Carolina",4624,2194,2430,3279,1162,0,0,0,131,52,500,2913,1091,253,838,2589,702,1887,1345,944,3239,553,1243,1111,332
37097,"Iredell County, North Carolina",173761,85497,88264,141237,21133,425,4394,125,2683,3764,13104,132209,39843,9518,30325,107041,34616,72425,37158,26877,119815,12710,33832,39021,34252
37099,"Jackson County, North Carolina",39019,19217,19802,32393,564,3400,266,0,977,1419,2364,31443,7014,1960,5054,23851,9401,14450,11093,8154,27233,2874,7284,8778,8297
37101,"Johnston County, North Carolina",194905,95507,99398,150803,30907,1336,1230,11,5476,5142,26642,132348,49848,12227,37621,119957,39165,80792,36351,25100,129612,16728,35905,47173,29806
37103,"Jones County, North Carolina",9536,4715,4821,6266,2903,96,8,0,97,166,443,5966,1788,411,1377,5570,1686,3884,2970,2178,7214,1358,2474,2501,881
37105,"Lee County, North Carolina",59433,28622,30811,43944,11908,489,795,31,1334,932,11426,34666,14492,3814,10678,35525,12524,23001,13128,9416,39943,6493,10628,14159,8663
37107,"Lenoir County, North Carolina",55386,26300,29086,30508,21668,113,227,14,752,2104,4362,27257,12131,3224,8907,32403,10639,21764,14982,10852,39108,7841,12471,12905,5891
37109,"Lincoln County, North Carolina",82082,40737,41345,73503,3958,195,593,31,2019,1783,6008,69696,17525,4169,13356,50696,14873,35823,19368,13861,58459,6979,18140,19756,13584
